Homo sapiens
Mus musculus
Caenorhabditis elegans
Drosophila melanogaster
Danio rerio
Chrysochloris asiatica
Chrysemys picta bellii
Ficedula albicollis
Halyomorpha halys
Uraeginthus cyanocephalus
Heliconius melpomene melpomene
Heliconius erato demophoon
Choloepus hoffmanni
Microcebus murinus
Bos indicus
Papio anubis
Eidolon helvum
Pteronotus parnellii
Cavia aperea
Manis pentadactyla
Vicugna pacos
Aotus nancymaae
Capra aegagrus
Balaenoptera bonaerensis
Eulemur flavifrons
Mus spretus
Giraffa tippelskirchi
Okapia johnstoni
Ellobius lutescens
Ellobius talpinus
Panthera pardus
Lycaon pictus
Rhinolophus sinicus
Hipposideros armiger
Tursiops truncatus
Ailuropoda melanoleuca
Ailurus fulgens
Odocoileus virginianus
Neomonachus schauinslandi
Ammotragus lervia
Psammomys obesus
Spermophilus dauricus
Elaphurus davidianus
Callithrix jacchus
Piliocolobus tephrosceles
Dicerorhinus sumatrensis
Pan troglodytes
Pongo abelii
Desmodus rotundus
Neophocaena asiaeorientalis
Mungos mungo
Panthera onca
Vulpes lagopus
Helogale parvula
Mirounga angustirostris
Cryptoprocta ferox
Suricata suricatta
Felis nigripes
Hyaena hyaena
Spilogale gracilis
Zalophus californianus
Paradoxurus hermaphroditus
Pteronura brasiliensis
Mellivora capensis
Mirza coquereli
Lemur catta
Dipodomys stephensi
Moschus moschiferus
Cheirogaleus medius
Catagonus wagneri
Zapus hudsonius
Ateles geoffroyi
Xerus inauris
Pygathrix nemaeus
Tonatia saurophila
Rousettus aegyptiacus
Saguinus imperator
Tapirus indicus
Scalopus aquaticus
Uropsilus gracilis
Tragulus javanicus
Saiga tatarica tatarica
Tadarida brasiliensis
Tapirus terrestris
Sigmodon hispidus
Semnopithecus entellus
Thryonomys swinderianus
Tamandua tetradactyla
Tolypeutes matacus
Miniopterus schreibersii
Mormoops blainvillei
Rangifer tarandus
Noctilio leporinus
Ondatra zibethicus
Pipistrellus pipistrellus
Pithecia pithecia
Murina aurata feae
Monodon monoceros
Nesogale talazaci
Onychomys torridus
Myrmecophaga tridactyla
Micronycteris hirsuta
Meriones unguiculatus
Lasiurus borealis
Hemitragus hylocrius
Heterohyrax brucei
Lepus americanus
Megaderma lyra
Hystrix cristata
Procavia capensis capensis
Ovis canadensis
Petromus typicus
Myotis myotis
Muscardinus avellanarius
Myocastor coypus
Hippopotamus amphibius
Mesoplodon bidens
Nasalis larvatus
Daubentonia madagascariensis
Ctenomys sociabilis
Glis glis
Ctenodactylus gundi
Galeopterus variegatus
Eulemur fulvus
Dolichotis patagonum
Diceros bicornis michaeli
Erythrocebus patas
Macroglossus sobrinus
Canis lupus
Hipposideros galeritus
Artibeus jamaicensis
Hydrochoerus hydrochaeris
Anoura caudifer
Beatragus hunteri
Antilocapra americana peninsularis
Acomys cahirinus
Craseonycteris thonglongyai
Cricetomys gambianus
Dinomys branickii
Cercopithecus neglectus
Crocidura indochinensis
Graphiurus murinus
Castor canadensis
Cavia tschudii
Plecturocebus donacophilus
Carollia perspicillata
Cebus albifrons
Ceratotherium simum cottoni
Nycticebus coucang
Alouatta palliata
Choloepus didactylus
Aplodontia rufa
Orientallactaga bullata
Capromys pilorides
Chaetophractus vellerosus
Eschrichtius robustus
Platanista minor
Eubalaena japonica
Perognathus longimembris pacificus
Phocoena phocoena
Inia geoffrensis
Dasyprocta punctata
Solenodon paradoxus
Indri indri
Kogia breviceps
Ziphius cavirostris
Orycteropus afer
Cuniculus paca
Tupaia tana
Phataginus tricuspis
Gorilla gorilla
Mus caroli
Mus pahari
Cricetulus griseus
Rattus norvegicus
Loxodonta africana
Canis lupus familiaris
Equus caballus
Sus scrofa
Bos taurus
Oryctolagus cuniculus
Nomascus leucogenys
Myotis lucifugus
Cavia porcellus
Pteropus vampyrus
Dipodomys ordii
Sorex araneus
Otolemur garnettii
Felis catus
Dasypus novemcinctus
Saimiri boliviensis
Ictidomys tridecemlineatus
Mustela putorius
Trichechus manatus
Heterocephalus glaber
Pan paniscus
Octodon degus
Condylura cristata
Chinchilla lanigera
Jaculus jaculus
Ceratotherium simum
Ochotona princeps
Erinaceus europaeus
Bos mutus
Ovis aries
